nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
Paul ABADIE,SU Agen,Demi mêlée,28 Juillet 1994,France,176,85
ESTEBAN ABADIE,CA Brive,1ère ligne,1 Décembre 1997,France,,
Dato Abdushelishvili,Racing 92,1ère ligne,25 Février 2001,Géorgie,,
NICHOLAS ABENDANON,ASM Clermont,Arrière,27 Août 1986,Pays-Bas,178,86
THOMAS ACQUIER,CA Brive,1ère ligne,21 Novembre 1989,France,,
Lourens ADRIAANSE,Section Paloise,1ère ligne,5 Février 1988,Afrique du Sud,,
Viliamu AFATIA,Aviron Bayonnais,1ère ligne,24 Mai 1990,Samoa américain,180,124
PIERRE AGUILLON,Stade Rochelais,Centre,27 Mars 1987,France,180,95
Pita Jordan Ahki,Stade Toulousain,Ailier,24 Septembre 1992,Nouvelle Zélande,,
Duane AHOLELEI,ASM Clermont,1ère ligne,16 Février 1989,Tonga,,
DORIAN ALDEGHERI,Stade Toulousain,1ère ligne,4 Août 1993,France,110,
Badri ALKHAZASHVILI,LOU Rugby,1ère ligne,31 Juillet 1995,Géorgie,185,110
Grégory ALLDRITT,Stade Rochelais,3e ligne,23 Mars 1997,France,,
EMILE PAUL ALO,Stade Français Paris,1ère ligne,22 Décembre 1991,Samoa occidental,,
Saofai Alofa ALOFA,Aviron Bayonnais,Ailier,12 Mars 1991,Australie,185,95
Martin ALONSO,Stade Rochelais,Centre,2 Décembre 1999,Espagne,,
AFAESETITI AMOSA,Union Bordeaux-Bègles,3e ligne,11 Octobre 1990,Australie,187,112
MARC ANDREU,Stade Rochelais,Trois quart aile,27 Décembre 1985,France,170,79
LEO AOUF,Stade Rochelais,1ère ligne,25 Février 1997,France,,
Gela APRASIDZE,Montpellier Hérault Rugby,Demi mêlée,14 Janvier 1998,Géorgie,,
TOBY ARNOLD,LOU Rugby,Ailier,11 Septembre 1987,Nouvelle Zélande,178,86
Richard Tamanui ARNOLD,Stade Toulousain,2e ligne,1 Juillet 1990,Australie,,
Rory ARNOLD,Stade Toulousain,2e ligne,1 Juillet 1990,Australie,,
ALEX ARRATE,Stade Français Paris,Demi d'ouverture,24 Juin 1997,France,,
KARLEN ASIESHVILI,CA Brive,1ère ligne,21 Avril 1987,Géorgie,184,118
UINI ATONIO,Stade Rochelais,1ère ligne,26 Mars 1990,Nouvelle Zélande,196,127
